trip_id,weather_condition,bus_type,traffic_level,route_distance_km,stops_count,passenger_count,driver_experience_years,scheduled_start_hour,delay_level,trip_duration_minutes
TRIP202160,Clear,Standard,Moderate,4.90,7,32,0.72,7,Severe Delay,41.59
TRIP209321,Rainy,Standard,Severe,13.56,17,25,2.07,13,Severe Delay,104.81
TRIP209160,Clear,Standard,Moderate,14.96,16,45,2.47,7,Severe Delay,86.37
TRIP200873,Clear,Mini Bus,Moderate,11.99,13,9,3.81,21,Moderate Delay,58.62
TRIP206012,Clear,Standard,High,13.69,18,15,10.21,22,On Time,83.44
TRIP207867,Rainy,Standard,Low,5.91,5,43,2.05,8,Moderate Delay,44.03
TRIP209565,Foggy,Standard,High,22.54,23,39,5.29,20,Severe Delay,158.12
TRIP201209,Rainy,Standard,High,11.51,16,42,2.94,5,Severe Delay,94.84
TRIP205049,Clear,Standard,Low,4.90,6,55,1.16,16,Moderate Delay,25.54
TRIP205058,Clear,Mini Bus,Moderate,11.37,12,16,8.50,9,Moderate Delay,58.93
TRIP208987,Rainy,Express,Severe,4.54,6,28,6.93,5,Severe Delay,39.73
TRIP200941,Clear,Standard,Moderate,5.16,9,38,2.79,21,Moderate Delay,26.45
TRIP205352,Clear,Standard,Low,10.75,14,38,11.82,13,On Time,36.05
TRIP205925,Foggy,Mini Bus,High,13.18,13,13,3.36,8,Severe Delay,91.11
TRIP203373,Clear,Standard,High,16.89,18,17,3.95,22,Moderate Delay,107.00
TRIP202112,Clear,Standard,Moderate,7.09,6,55,5.68,6,Moderate Delay,31.74
TRIP204611,Rainy,Express,Moderate,21.22,25,19,10.81,23,On Time,100.77
TRIP205441,Clear,Mini Bus,Moderate,14.53,15,24,4.86,17,Moderate Delay,74.91
TRIP203378,Clear,Standard,Moderate,3.50,3,28,1.53,6,On Time,19.25
TRIP204714,Rainy,Mini Bus,Severe,11.62,11,14,6.27,6,Severe Delay,95.80
TRIP203128,Clear,Mini Bus,Severe,14.25,17,30,13.08,8,Severe Delay,107.87
TRIP209089,Rainy,Standard,High,5.44,3,39,14.90,12,Moderate Delay,35.72
TRIP206267,Rainy,Standard,Severe,8.05,12,48,2.54,19,Severe Delay,80.28
TRIP204973,Clear,Standard,Moderate,10.79,10,18,4.60,12,On Time,40.17
TRIP209809,Clear,Standard,Moderate,6.50,8,39,5.41,8,Moderate Delay,30.58
TRIP208929,Foggy,Standard,Moderate,8.90,11,65,3.82,9,Severe Delay,62.18
TRIP203036,Windy,Standard,Moderate,7.99,3,42,9.70,10,On Time,33.29
TRIP209697,Clear,Mini Bus,Moderate,4.81,4,21,4.42,6,On Time,24.88
TRIP203269,Foggy,Mini Bus,High,15.51,19,16,,17,Severe Delay,106.25
TRIP201636,Clear,Express,Severe,4.37,8,30,6.76,10,On Time,24.78
TRIP206600,Clear,Express,Low,9.94,11,,7.62,23,On Time,29.25
TRIP204951,Clear,Standard,Low,6.08,4,25,10.98,23,On Time,33.28
TRIP209091,Windy,Standard,Moderate,9.37,7,33,2.66,6,Moderate Delay,42.58
TRIP208392,Windy,Mini Bus,Low,7.36,7,30,3.92,9,Moderate Delay,36.54
TRIP207934,Foggy,Mini Bus,Moderate,13.28,15,22,1.52,11,Moderate Delay,63.05
TRIP203160,Clear,Standard,High,11.83,16,35,5.29,18,Severe Delay,68.61
TRIP204086,Clear,Standard,Moderate,5.65,8,22,6.98,6,On Time,32.47
TRIP203448,Clear,Mini Bus,Low,12.98,14,14,8.42,22,On Time,38.58
TRIP202584,Foggy,Standard,High,7.97,9,24,2.90,15,Severe Delay,52.41
TRIP207986,Foggy,Mini Bus,Low,10.40,11,25,8.27,18,Moderate Delay,57.84
TRIP202616,Clear,Standard,High,7.56,3,29,6.19,12,On Time,37.58
TRIP207128,Rainy,Mini Bus,Low,9.18,13,3,5.07,20,On Time,38.46
TRIP206316,Clear,Standard,High,10.99,11,31,1.75,22,Severe Delay,64.51
TRIP200923,Clear,Express,Moderate,3.82,3,32,5.02,8,Moderate Delay,22.27
TRIP209640,Clear,Mini Bus,Low,22.50,18,49,1.36,16,Severe Delay,108.23
TRIP203671,Windy,,High,7.48,8,47,6.51,7,Severe Delay,51.50
TRIP205521,Clear,Standard,High,13.29,20,27,9.66,17,Severe Delay,93.05
TRIP208999,Rainy,Express,Moderate,4.38,4,6,13.07,10,On Time,18.92
TRIP208119,Rainy,Standard,Severe,11.53,18,21,11.58,11,Severe Delay,101.57
TRIP200532,Clear,Standard,Severe,7.87,10,25,6.11,10,Moderate Delay,53.16
TRIP202905,,Express,High,3.76,3,15,18.00,21,On Time,14.52
TRIP206387,Clear,Standard,High,9.33,9,22,3.84,6,On Time,40.44
TRIP205657,Clear,Standard,High,8.38,11,40,7.22,9,Moderate Delay,61.23
TRIP204119,Windy,Standard,Moderate,9.01,7,33,10.21,15,On Time,35.29
TRIP204293,Clear,Standard,High,6.43,5,35,9.74,20,On Time,29.34
TRIP201840,Clear,Standard,Moderate,6.92,9,55,5.56,8,Severe Delay,51.32
TRIP209501,,,Low,11.83,12,32,3.70,20,On Time,50.82
TRIP208284,Clear,Standard,Moderate,5.85,6,,11.54,13,On Time,19.87
TRIP208018,Rainy,Standard,High,10.99,13,34,3.33,13,Severe Delay,78.43
TRIP202635,Clear,Mini Bus,Moderate,11.58,12,14,1.78,15,Moderate Delay,54.21
TRIP205939,Windy,Standard,Moderate,17.09,17,41,9.01,19,Severe Delay,96.89
TRIP206105,,Standard,Moderate,4.67,4,52,2.80,18,Severe Delay,32.19
TRIP203351,Clear,Express,Moderate,20.49,17,26,3.93,15,On Time,90.11
TRIP208067,Clear,Standard,High,4.36,4,37,1.01,21,Moderate Delay,26.10
TRIP204953,Clear,Standard,Moderate,8.83,6,25,5.32,23,On Time,41.30
TRIP205106,Windy,Standard,Severe,13.47,13,37,4.18,22,Moderate Delay,84.52
TRIP204568,Clear,Express,Moderate,21.72,20,27,7.82,5,On Time,96.34
TRIP208899,Foggy,Express,Moderate,7.58,7,12,3.81,10,On Time,30.05
TRIP203514,Clear,Standard,High,12.17,10,41,1.17,7,Severe Delay,73.08
TRIP208205,Clear,Mini Bus,Low,10.90,10,28,6.47,11,On Time,37.53
TRIP206930,Clear,Mini Bus,Moderate,8.34,6,24,9.79,22,On Time,36.88
TRIP204779,Rainy,Standard,Moderate,21.51,22,42,5.69,9,Severe Delay,123.05
TRIP206613,Clear,Standard,Moderate,7.59,10,51,4.58,18,Severe Delay,47.60
TRIP200444,Rainy,Standard,Moderate,10.45,13,29,2.78,13,Severe Delay,53.36
TRIP206510,Clear,Express,Moderate,8.48,11,46,6.50,19,Moderate Delay,37.74
TRIP201359,Clear,Standard,Moderate,12.57,11,23,13.41,20,On Time,53.36
TRIP202936,Clear,Express,High,11.80,13,13,,10,On Time,59.53
TRIP204061,,Standard,Moderate,6.90,8,45,7.90,13,On Time,41.94
TRIP205993,Clear,Standard,High,25.41,26,53,2.95,6,Severe Delay,174.97
TRIP204334,Clear,Express,Low,12.45,14,24,8.06,12,On Time,40.17
TRIP205322,Rainy,Express,Low,21.45,22,20,3.22,11,Moderate Delay,88.39
TRIP205083,Clear,Mini Bus,Low,4.24,3,38,5.32,18,On Time,30.20
TRIP204222,Rainy,Mini Bus,High,10.65,12,17,,21,Severe Delay,82.57
TRIP205646,Clear,Mini Bus,High,10.26,14,19,4.79,12,Moderate Delay,69.60
TRIP202782,Windy,Standard,Severe,5.92,7,34,14.11,13,Moderate Delay,42.93
TRIP207614,Clear,Mini Bus,Moderate,3.76,3,42,6.99,17,Moderate Delay,22.12
TRIP200966,Clear,Standard,Moderate,,4,21,18.00,12,On Time,30.89
TRIP203585,Clear,Standard,Moderate,12.05,13,50,4.67,7,Severe Delay,58.42
TRIP201037,Clear,Standard,High,12.89,15,25,18.00,14,On Time,72.51
TRIP201784,Rainy,Standard,Severe,10.90,12,56,4.69,7,Severe Delay,93.22
TRIP205361,Foggy,Standard,High,11.16,12,35,4.99,12,Severe Delay,62.60
TRIP209196,Clear,Standard,Low,6.88,7,24,4.44,5,On Time,31.59
TRIP209358,Windy,Mini Bus,Severe,9.09,8,13,10.51,8,Severe Delay,69.74
TRIP205672,Windy,Mini Bus,Severe,4.28,5,21,12.18,17,Severe Delay,42.21
TRIP204959,Rainy,Standard,Low,8.14,5,40,4.96,12,Moderate Delay,28.24
TRIP206541,Rainy,Express,Low,14.35,13,29,4.04,10,On Time,51.28
TRIP200708,Clear,Standard,Moderate,10.64,9,47,13.61,7,Moderate Delay,47.61
TRIP201392,Clear,Mini Bus,Low,9.66,7,15,11.86,12,On Time,34.81
TRIP206883,Rainy,Express,High,8.04,10,18,2.45,14,Severe Delay,46.81
TRIP208652,Clear,Express,High,10.25,7,18,6.00,21,On Time,55.87
TRIP207331,Clear,Mini Bus,Moderate,4.62,3,23,3.18,13,On Time,26.07
TRIP202196,Clear,Standard,Low,3.35,7,51,5.75,8,Moderate Delay,29.42
TRIP203010,Clear,Standard,High,7.37,8,44,9.05,16,Moderate Delay,36.01
TRIP205907,Rainy,Mini Bus,Moderate,17.69,19,14,7.17,11,Moderate Delay,94.35
TRIP205836,Rainy,Express,Low,10.98,12,52,4.91,17,Severe Delay,48.03
TRIP202477,Windy,Express,Low,13.17,12,13,1.20,21,On Time,41.89
TRIP203691,Rainy,Express,Low,15.44,17,25,4.92,21,On Time,70.52
TRIP202366,Windy,Standard,Moderate,6.33,4,34,2.71,22,On Time,42.99
TRIP208106,Clear,Standard,Severe,5.02,6,48,4.33,18,Severe Delay,38.98
TRIP204201,Foggy,Standard,Moderate,6.65,7,45,1.77,11,Moderate Delay,34.76
TRIP205894,Clear,Mini Bus,Severe,4.47,6,17,,8,Severe Delay,40.69
TRIP207822,Clear,Express,High,25.65,29,25,3.42,14,Moderate Delay,154.43
TRIP203812,Clear,Mini Bus,Severe,23.48,27,18,5.13,11,Severe Delay,180.00
TRIP201344,Clear,Standard,Severe,8.12,8,39,13.36,10,Moderate Delay,52.04
TRIP208550,,Standard,Low,2.38,3,34,12.29,23,On Time,15.79
TRIP201159,Clear,Standard,High,4.38,7,48,0.83,19,Severe Delay,32.25
TRIP209753,Rainy,Standard,Moderate,,8,43,4.30,21,Moderate Delay,42.18
TRIP204519,Windy,Standard,Severe,18.66,22,28,7.02,23,Severe Delay,143.93
TRIP206246,Rainy,Standard,Moderate,9.16,12,42,3.76,14,Moderate Delay,56.64
TRIP200362,Rainy,Standard,Low,11.31,10,22,5.67,12,On Time,38.47
TRIP202151,Windy,Standard,Moderate,8.62,10,37,5.01,5,Moderate Delay,52.28
TRIP202030,Clear,Mini Bus,Low,16.86,16,12,6.77,21,On Time,80.61
TRIP208880,Clear,Standard,High,17.64,20,30,2.75,14,Severe Delay,107.22
TRIP201936,Rainy,Standard,High,20.22,22,30,3.34,11,Severe Delay,128.91
TRIP204150,Clear,Standard,Moderate,13.05,13,40,3.00,11,On Time,74.03
TRIP201577,Rainy,Standard,Low,14.08,15,12,3.70,5,On Time,53.29
TRIP207933,Windy,Mini Bus,Severe,11.70,9,20,11.58,13,Moderate Delay,86.63
TRIP205727,Clear,Express,Moderate,28.20,29,20,4.84,11,Moderate Delay,140.29
TRIP207155,Rainy,Standard,High,17.91,19,40,5.03,7,Severe Delay,120.53
TRIP204945,Clear,Standard,Low,24.74,27,44,12.49,12,Moderate Delay,128.17
TRIP205251,Windy,Mini Bus,Moderate,5.60,6,19,3.06,10,On Time,33.96
TRIP205463,Clear,Standard,Low,18.79,19,18,4.44,13,Moderate Delay,75.11
TRIP209190,Clear,Mini Bus,Low,15.30,13,26,3.11,9,Moderate Delay,70.60
TRIP202514,Clear,Standard,High,3.27,10,30,6.25,5,On Time,32.58
TRIP202288,Clear,Standard,Moderate,10.98,12,34,10.76,15,On Time,44.90
TRIP203135,Clear,Express,Moderate,6.80,5,19,1.01,15,On Time,25.13
TRIP200706,Clear,Standard,Moderate,,13,18,3.82,12,On Time,52.45
TRIP203684,Rainy,Standard,Moderate,5.13,7,50,9.41,8,Severe Delay,45.96
TRIP209241,Clear,Mini Bus,High,8.80,9,8,6.24,6,Moderate Delay,55.13
TRIP200648,Clear,Standard,High,7.76,7,29,5.94,15,On Time,55.51
TRIP200188,Clear,Express,Low,9.48,12,6,15.73,15,On Time,19.92
TRIP206742,Clear,Express,High,6.45,10,,0.20,8,Severe Delay,37.57
TRIP201425,Foggy,Standard,Moderate,10.53,11,39,4.67,12,On Time,57.57
TRIP206294,Clear,Standard,Severe,10.28,12,60,13.31,16,Severe Delay,85.66
TRIP200777,Windy,Standard,Low,10.57,13,31,2.15,10,Moderate Delay,39.22
TRIP202511,Clear,Mini Bus,High,27.33,28,10,7.14,21,Severe Delay,180.00
TRIP205531,Clear,Express,Moderate,14.00,15,28,1.92,7,Moderate Delay,65.30
TRIP204315,Foggy,Express,Moderate,10.46,12,37,5.84,9,Moderate Delay,59.79
TRIP206221,Foggy,Standard,High,5.94,5,28,14.92,19,Severe Delay,43.14
TRIP202603,Clear,Standard,High,17.44,19,50,9.05,6,Severe Delay,106.54
TRIP209547,Windy,Standard,Severe,7.41,8,33,4.21,10,Moderate Delay,51.19
TRIP205814,Clear,Standard,High,26.70,30,36,1.68,15,Severe Delay,180.00
TRIP202450,Windy,Standard,Low,13.94,13,39,5.13,5,On Time,59.44
TRIP208064,Clear,Mini Bus,High,6.76,8,16,1.93,6,Severe Delay,39.39
TRIP209787,Foggy,Standard,Severe,12.46,13,19,11.95,12,Severe Delay,98.13
TRIP207731,Clear,Mini Bus,Moderate,10.59,13,20,6.86,20,On Time,53.42
TRIP200270,Foggy,Standard,Moderate,7.85,6,36,10.83,22,On Time,35.72
TRIP204085,Rainy,Mini Bus,Moderate,25.05,23,26,,7,Severe Delay,151.67
TRIP207513,Clear,Mini Bus,Moderate,14.08,15,15,12.18,20,On Time,69.63
TRIP209001,Foggy,Standard,High,13.38,15,24,5.57,15,Severe Delay,78.89
TRIP203435,Clear,Standard,Low,30.92,33,22,2.46,5,Severe Delay,154.61
TRIP202493,Clear,Mini Bus,High,18.11,19,34,4.57,8,Severe Delay,111.39
TRIP203222,Rainy,Standard,Low,18.61,19,57,10.19,8,Severe Delay,97.19
TRIP209334,Foggy,Standard,High,10.71,9,51,6.60,21,Severe Delay,67.83
TRIP204307,Clear,Mini Bus,Low,8.13,8,15,1.82,11,On Time,31.02
TRIP207974,Foggy,Express,Moderate,8.75,8,16,2.67,21,Moderate Delay,38.11
TRIP201213,Windy,Standard,High,13.86,13,35,6.57,20,Moderate Delay,75.99
TRIP202419,Clear,Express,High,12.61,14,31,2.01,7,Severe Delay,57.69
TRIP202342,Clear,Express,Moderate,13.41,13,29,3.53,7,Moderate Delay,56.06
TRIP207056,Windy,Standard,High,20.39,20,25,11.92,15,Severe Delay,124.57
TRIP207161,Clear,Express,Moderate,27.56,29,3,8.75,14,Moderate Delay,145.67
TRIP207655,Foggy,Express,Low,9.67,12,41,2.25,8,Moderate Delay,45.05
TRIP207583,Clear,Standard,Low,10.24,6,34,2.32,5,Moderate Delay,42.44
TRIP200562,Windy,Express,High,19.06,19,26,4.81,11,Severe Delay,111.60
TRIP208651,Clear,Standard,Moderate,14.72,15,47,12.93,9,Moderate Delay,78.13
TRIP200884,Clear,Mini Bus,Moderate,19.82,21,3,8.85,14,Moderate Delay,103.70
TRIP206636,Rainy,Standard,Severe,8.83,10,24,3.20,21,Severe Delay,72.56
TRIP201687,Clear,Standard,Moderate,11.72,17,52,1.38,7,Severe Delay,64.16
TRIP205695,Clear,Standard,High,12.47,11,54,,13,Moderate Delay,75.26
TRIP204587,Clear,Standard,Low,22.05,22,47,5.07,22,Moderate Delay,106.03
TRIP200718,Clear,Express,Moderate,14.65,14,32,1.76,6,On Time,43.21
TRIP202928,Foggy,Mini Bus,Low,8.85,8,22,,19,On Time,48.04
TRIP208133,Clear,Standard,Moderate,6.32,10,32,5.51,6,On Time,35.63
TRIP201473,Foggy,Mini Bus,High,8.45,11,14,2.49,10,Severe Delay,50.44
TRIP200113,Clear,Standard,High,8.26,9,30,11.26,20,On Time,42.35
TRIP202598,Rainy,Standard,Moderate,13.25,17,32,6.39,9,Severe Delay,73.57
TRIP205537,Clear,Standard,Low,5.84,6,34,5.28,5,On Time,24.29
TRIP205301,Clear,Mini Bus,High,10.95,12,27,10.74,12,Moderate Delay,73.78
TRIP207959,Rainy,Standard,Low,6.82,9,48,3.47,23,Moderate Delay,49.06
TRIP209593,Clear,Mini Bus,Low,5.33,5,3,14.00,17,On Time,25.07
TRIP203246,Rainy,Standard,Moderate,,23,40,6.46,10,Moderate Delay,130.83
TRIP208648,Clear,Standard,Moderate,5.50,7,27,5.86,13,On Time,30.68
TRIP207347,Rainy,Express,Low,7.37,6,33,1.28,21,On Time,17.10
TRIP209600,Clear,Mini Bus,Moderate,7.97,13,3,1.36,11,On Time,30.10
TRIP201582,Clear,Mini Bus,Moderate,17.21,16,16,3.14,11,On Time,89.63
TRIP202376,Foggy,Standard,High,13.56,18,41,2.07,16,Severe Delay,103.52
TRIP203985,Clear,Express,Severe,4.08,7,37,10.12,17,Severe Delay,39.95
TRIP203301,Clear,Mini Bus,Moderate,13.37,14,33,2.95,19,Severe Delay,64.52
TRIP208047,Clear,Standard,High,10.02,13,29,2.63,16,Severe Delay,71.00
TRIP208961,Windy,Mini Bus,High,11.24,12,14,12.88,15,Moderate Delay,63.43
TRIP201048,Clear,Mini Bus,Moderate,29.81,34,15,4.87,5,Moderate Delay,173.23
TRIP203215,Clear,Standard,Moderate,22.68,20,41,4.08,17,Severe Delay,126.93
TRIP205366,Clear,Mini Bus,Low,12.13,13,15,15.25,23,On Time,47.06
TRIP205901,Clear,Express,Moderate,6.28,6,27,1.04,11,On Time,29.79
TRIP209079,Windy,Standard,Severe,5.17,3,35,1.05,5,Moderate Delay,33.91
TRIP202420,Rainy,Mini Bus,Moderate,8.26,12,20,5.96,17,Moderate Delay,51.71
TRIP208769,Windy,Mini Bus,High,6.83,9,27,16.51,5,Moderate Delay,46.74
TRIP200744,Windy,Standard,Moderate,7.72,11,45,10.61,9,Moderate Delay,46.95
TRIP207139,Clear,Mini Bus,Moderate,17.55,17,34,,16,Severe Delay,93.37
TRIP206242,Clear,Mini Bus,Low,12.07,8,17,2.42,13,Moderate Delay,44.07
TRIP201497,Clear,Standard,Moderate,7.92,9,35,5.34,9,On Time,36.85
TRIP207829,Windy,Standard,Moderate,18.70,18,46,15.02,19,Severe Delay,95.22
TRIP209476,Clear,Standard,High,4.15,4,48,4.57,9,Severe Delay,34.95
TRIP201138,Clear,Standard,High,4.86,3,34,2.59,23,On Time,27.68
TRIP205060,Foggy,Standard,Low,4.84,5,25,5.14,12,On Time,24.10
TRIP208527,Clear,Standard,Moderate,6.87,9,23,8.23,12,On Time,28.96
TRIP201677,Clear,Standard,Severe,17.81,15,47,1.72,19,Severe Delay,136.43
TRIP209340,Clear,Express,High,11.51,14,44,7.00,8,Severe Delay,65.42
TRIP201491,Clear,Standard,High,6.66,5,7,8.17,20,On Time,33.73
TRIP209326,Clear,Standard,High,11.34,13,34,5.14,16,Severe Delay,72.42
TRIP201754,Clear,,Moderate,31.20,32,25,8.10,22,Severe Delay,180.00
TRIP206426,Clear,Express,High,7.73,8,8,3.43,10,On Time,38.70
TRIP206516,Windy,Express,Low,13.95,13,17,3.01,5,On Time,54.59
TRIP207997,Clear,Mini Bus,Low,7.48,7,31,6.26,7,Moderate Delay,29.57
TRIP204880,Clear,Express,Moderate,17.06,20,16,0.36,23,Moderate Delay,67.57
TRIP202049,Clear,Standard,Moderate,8.29,11,36,6.48,9,On Time,42.22
TRIP204665,Rainy,Standard,Severe,5.27,3,40,4.69,17,Severe Delay,56.47
TRIP209715,Clear,Standard,Moderate,16.47,15,33,7.03,16,Moderate Delay,82.05
TRIP206161,Rainy,Mini Bus,Moderate,15.30,14,24,5.86,16,Severe Delay,88.62
TRIP206450,Clear,Standard,Low,5.74,7,32,5.57,12,On Time,28.80
TRIP206058,Clear,Standard,Severe,11.12,10,11,1.92,21,Moderate Delay,72.28
TRIP205963,Rainy,Standard,High,19.13,25,20,7.81,11,Severe Delay,128.45
TRIP201922,Clear,Mini Bus,Moderate,13.34,16,17,2.98,10,Moderate Delay,61.41
TRIP201702,Windy,Standard,Low,10.17,10,38,14.44,21,On Time,51.38
TRIP205994,Windy,Mini Bus,High,5.75,9,28,8.34,13,On Time,37.45
TRIP201181,Rainy,Mini Bus,Moderate,21.39,21,27,1.12,19,Severe Delay,123.60
TRIP203415,Foggy,Standard,Low,3.34,7,43,10.72,17,On Time,30.72
TRIP200526,Clear,Mini Bus,High,16.52,19,17,,22,Severe Delay,99.98
TRIP202230,Clear,Express,Severe,8.91,11,48,13.26,17,Severe Delay,56.72
TRIP203363,Clear,Standard,Low,17.56,18,13,7.04,5,On Time,75.65
TRIP205705,Clear,Mini Bus,Moderate,,8,14,18.00,6,On Time,32.65
TRIP206369,Foggy,Standard,High,11.38,10,58,5.49,17,Severe Delay,72.77
TRIP201119,Rainy,Mini Bus,Severe,3.95,4,27,10.59,22,Severe Delay,41.34
TRIP206180,Clear,Standard,Moderate,5.69,6,38,3.03,8,Moderate Delay,46.32
TRIP200449,Clear,Mini Bus,Low,4.39,6,20,7.54,6,On Time,20.80
TRIP206816,Clear,Standard,Moderate,18.27,24,24,5.09,20,Moderate Delay,105.68
TRIP207168,Clear,Standard,High,,7,30,5.92,20,Moderate Delay,41.66
TRIP207575,Rainy,Express,High,3.95,3,15,4.64,10,Severe Delay,27.23
TRIP200154,Clear,Mini Bus,Moderate,5.01,4,14,8.16,17,On Time,28.96
TRIP206772,Foggy,Standard,Moderate,14.43,17,31,2.00,14,Severe Delay,86.45
TRIP203470,Clear,Standard,Moderate,21.34,25,57,8.84,18,Severe Delay,117.37
TRIP208132,Clear,Standard,Severe,5.01,5,26,2.26,23,Moderate Delay,36.20
TRIP202764,Rainy,Mini Bus,Severe,12.79,10,17,2.75,6,Severe Delay,102.48
TRIP202533,Windy,Express,Severe,4.89,7,24,2.88,11,Moderate Delay,36.86
TRIP200594,Clear,,Low,13.32,13,19,7.77,6,On Time,50.33
TRIP205663,Rainy,Mini Bus,Moderate,9.53,10,11,10.25,14,On Time,65.44
TRIP207756,Foggy,Express,High,22.15,21,49,10.01,18,Severe Delay,133.04
TRIP209249,Windy,Mini Bus,High,11.05,11,3,6.12,15,Moderate Delay,69.54
TRIP202200,Clear,Mini Bus,Low,7.51,9,15,3.28,8,Moderate Delay,34.43
TRIP205468,Windy,Standard,Low,7.29,6,17,0.57,23,On Time,31.95
TRIP203454,Clear,Mini Bus,Moderate,13.76,19,23,2.31,12,Moderate Delay,76.95
TRIP209367,Windy,Express,High,18.05,19,50,9.90,8,Severe Delay,104.69
TRIP203790,Clear,Standard,Severe,12.04,13,33,14.52,20,On Time,89.17
TRIP203944,,Standard,Low,8.68,6,39,7.31,8,Moderate Delay,42.91
TRIP201923,Clear,Standard,Moderate,9.95,13,22,4.08,15,On Time,49.16
TRIP201808,Windy,Standard,High,2.34,3,35,2.12,13,Moderate Delay,23.64
TRIP202097,Clear,Mini Bus,High,3.21,3,18,4.37,13,Moderate Delay,25.11
TRIP201115,,Express,Severe,5.99,5,19,5.95,22,On Time,32.05
TRIP201003,Clear,Standard,Low,11.52,9,40,3.49,7,Moderate Delay,44.01
TRIP200111,Clear,Standard,Moderate,6.23,9,20,9.94,21,On Time,27.48
TRIP206226,Clear,Standard,Severe,8.63,10,33,6.49,8,Severe Delay,78.10
TRIP200804,Clear,Standard,Moderate,12.98,8,54,3.29,8,Severe Delay,58.72
TRIP209754,Clear,Mini Bus,Moderate,8.86,6,21,4.78,13,On Time,46.80
TRIP205969,Rainy,Standard,Moderate,10.61,9,26,9.03,13,On Time,47.47
TRIP209488,Clear,Mini Bus,High,17.78,19,32,11.17,6,Severe Delay,107.42
TRIP206719,Windy,Mini Bus,Moderate,2.42,3,15,1.85,5,Moderate Delay,12.32
TRIP205577,Rainy,Mini Bus,Moderate,10.38,11,30,2.42,22,Moderate Delay,62.15
TRIP204439,Clear,Standard,Low,6.64,5,25,7.91,10,On Time,29.68
TRIP205109,Clear,Mini Bus,High,3.11,3,14,6.28,20,On Time,15.70
TRIP202464,Foggy,Standard,Moderate,8.11,12,50,5.03,23,Moderate Delay,48.00
TRIP206073,Rainy,Standard,Low,10.85,9,23,0.88,13,On Time,42.80
TRIP207650,Clear,Express,Moderate,6.90,7,18,6.88,17,Moderate Delay,27.72
TRIP200065,Clear,Standard,High,6.84,7,47,1.90,19,Severe Delay,47.77
TRIP204719,Clear,Express,High,5.86,6,34,10.98,10,On Time,20.96
TRIP200413,Windy,Mini Bus,High,4.19,7,22,2.31,22,Severe Delay,38.60
TRIP200425,,Standard,High,6.30,10,34,5.10,8,Severe Delay,62.42
TRIP208167,Windy,Mini Bus,High,5.46,5,18,2.20,22,Moderate Delay,46.37
TRIP205428,Rainy,Standard,Moderate,7.52,6,31,8.51,21,On Time,36.92
TRIP200550,Clear,Mini Bus,Low,10.85,14,26,3.23,23,On Time,50.36
TRIP203284,Clear,Mini Bus,High,6.98,11,38,15.07,17,Moderate Delay,58.22
TRIP202590,Clear,,Low,6.80,5,37,4.53,18,Moderate Delay,28.64
TRIP207804,Clear,Standard,Severe,19.57,21,37,,5,Severe Delay,154.97
TRIP203922,Clear,Mini Bus,Low,4.44,9,7,10.62,10,On Time,25.42
TRIP206602,Foggy,Standard,Moderate,4.10,3,32,2.86,5,Moderate Delay,30.78
TRIP208798,Clear,Mini Bus,Severe,14.59,14,33,6.18,18,Severe Delay,114.86
TRIP203819,Windy,Standard,Moderate,12.80,13,28,5.41,14,On Time,62.99
TRIP205472,Clear,Standard,High,23.86,24,21,7.43,15,Severe Delay,150.76
TRIP203507,Clear,Mini Bus,Moderate,4.43,7,13,3.52,12,On Time,32.85
TRIP202893,Windy,Mini Bus,Severe,12.13,12,33,1.56,9,Severe Delay,104.51
TRIP203632,Foggy,Standard,Low,10.21,11,44,5.59,18,Moderate Delay,54.37
TRIP207542,Clear,Mini Bus,Moderate,8.77,10,23,5.67,22,Moderate Delay,41.99
TRIP200500,Foggy,Mini Bus,High,9.29,12,29,18.00,17,Severe Delay,59.60
TRIP207805,Clear,Express,Low,6.17,9,14,4.51,6,On Time,21.83
TRIP203413,Clear,Mini Bus,Moderate,3.25,4,27,6.72,7,On Time,29.81
TRIP209216,Clear,Express,High,21.30,22,29,1.90,12,Severe Delay,114.68
TRIP203046,Clear,Standard,Severe,5.67,6,34,2.42,21,Moderate Delay,41.10
TRIP208938,Foggy,Express,High,16.62,21,45,7.55,6,Severe Delay,88.30
TRIP200143,Windy,Mini Bus,Moderate,10.70,10,10,16.80,9,On Time,51.58
TRIP202023,Windy,Express,High,11.90,9,44,12.07,18,Moderate Delay,66.51
TRIP204286,Windy,Standard,Low,8.90,15,21,5.99,11,On Time,39.02
TRIP200478,Clear,Express,Severe,2.00,3,17,1.84,11,Moderate Delay,15.83
TRIP205124,Rainy,Mini Bus,Low,4.25,3,28,16.69,6,On Time,30.07
TRIP203475,Clear,Standard,Low,6.80,9,27,2.99,12,On Time,36.00
TRIP205775,Windy,Express,Low,11.34,12,16,1.50,10,On Time,39.15
TRIP202631,Rainy,Mini Bus,Low,4.43,8,32,8.74,19,Moderate Delay,30.12
TRIP207861,Clear,Express,Low,10.08,14,23,3.09,22,On Time,23.50
TRIP200459,Clear,Standard,High,8.12,10,32,8.90,10,Moderate Delay,50.14
TRIP205706,Foggy,Standard,Moderate,20.51,20,29,3.70,22,Moderate Delay,104.36
TRIP209393,Clear,Standard,Moderate,7.99,6,28,2.37,22,Moderate Delay,37.83
TRIP209284,Clear,Standard,High,5.87,8,27,2.80,10,Moderate Delay,36.68
